) for {0},) za {0},
A {0} exists between {1} and {2} (,A {0} postoji između {1} i {2} (,
Absent,Odsutan,
Accrual Journal Entry for salaries from {0} to {1},Unos teksta na obračun za plate od {0} do {1},
Add to Details,Dodaj u Detalji,
Added to details,Dodato na detalje,
All Jobs,Svi poslovi,
Allocated Leaves,Dodijeljene liste,
Annual Salary,Godišnja zarada,
Application period cannot be across two allocation records,Period primene ne može biti preko dve evidencije alokacije,
Application period cannot be outside leave allocation period,Period aplikacija ne može biti razdoblje raspodjele izvan odsustva,
Apply Now,Prijavite se sada,
Apprentice,šegrt,
Approval Status,Status odobrenja,
Approval Status must be 'Approved' or 'Rejected',"Status Odobrenje mora biti ""Odobreno"" ili "" Odbijeno """,
As per your assigned Salary Structure you cannot apply for benefits,Prema vašoj dodeljenoj strukturi zarada ne možete se prijaviti za naknade,
Assign,Dodijeliti,
Assign Salary Structure,Dodeli strukturu plata,
Assign to Employees,Dodijelite zaposlenima,
Assigning Structures...,Dodjeljivanje struktura ...,
Attendance,Pohađanje,
Attendance From Date and Attendance To Date is mandatory,Gledatelja Od datuma i posjećenost do sada je obvezno,
Attendance for employee {0} is already marked for this day,Posjećenost za zaposlenog {0} je već označena za ovaj dan,
Attendance not submitted for {0} as it is a Holiday.,Prisustvo nije poslato za {0} jer je to praznik.,
Bank Entries,banka unosi,
Base,baza,
Beginner,početnik,
Birthday Reminder,Podsjetnik rođendana,
Bonus Payment Date cannot be a past date,Datum plaćanja bonusa ne može biti prošnji datum,
Calls,Pozivi,
Cannot find active Leave Period,Ne mogu pronaći aktivni period otpusta,
Casual Leave,Casual dopust,
Claimed Amount,Zahtevani iznos,
Compensatory Off,kompenzacijski Off,
Contact Number,Kontakt broj,
Course,Kurs,
Create Disbursement Entry,Kreirajte unos isplate,
Create Salary Slip,Stvaranje plaće Slip,
Create Salary Slips,Napravite liste plata,
Creating Payment Entries......,Kreiranje unosa za uplate ......,
Creating Salary Slips...,Kreiranje plata ...,
Current,struja,
Current Job Openings,Trenutni Otvori Posao,
Daily Work Summary,Svakodnevni rad Pregled,
Daily Work Summary Group,Dnevna radna grupa,
Date is repeated,Datum se ponavlja,
Debit A/C Number,Debitni A / C broj,
Deduction,Odbitak,
Document Status,Dokument Status,
Earning,Zarada,
Employee A/C Number,Broj zaposlenika,
Employee Benefits,Primanja zaposlenih,
Employee Grade,Razred zaposlenih,
Employee Referral,Upućivanje zaposlenih,
Employee relieved on {0} must be set as 'Left',Zaposlenik razriješen na {0} mora biti postavljen kao 'lijevo ',
Employee {0} already submited an apllication {1} for the payroll period {2},Zaposleni {0} već je podneo primenu {1} za period platnog spiska {2},
Employee {0} has no maximum benefit amount,Zaposleni {0} nema maksimalni iznos naknade,
Employee {0} is not active or does not exist,Radnik {0} nije aktivan ili ne postoji,
Employee {0} is on Leave on {1},Zaposleni {0} je na {1},
Employee {0} on Half day on {1},Zaposlenik {0} na Poludnevni na {1},
End time cannot be before start time,Krajnje vrijeme ne može biti prije početka,
Evaluation,procjena,
Event Location,Lokacija događaja,
Event Name,Naziv događaja,
Expense Claim for Vehicle Log {0},Rashodi Preuzmi za putnom {0},
Expense Claim {0} already exists for the Vehicle Log,Rashodi Preuzmi {0} već postoji za putnom,
Fill the form and save it,Ispunite obrazac i spremite ga,
Filter Employees By (Optional),Filtriraj zaposlenike prema (neobavezno),
Fiscal Year {0} not found,Fiskalna godina {0} nije pronađen,
Food,Hrana,
For Employee,Za zaposlenom,
From Date {0} cannot be after employee's relieving Date {1},Od datuma {0} ne može biti poslije otpuštanja zaposlenog Datum {1},
From Date {0} cannot be before employee's joining Date {1},Od datuma {0} ne može biti pre pridruživanja zaposlenog Datum {1},
From date can not be less than employee's joining date,Od datuma ne može biti manje od datuma pridruživanja zaposlenog,
Fuel Price,Cena goriva,
Fuel Qty,gorivo Količina,
Full-time,Puno radno vrijeme,
Future dates not allowed,Dalji datumi nisu dozvoljeni,
Get Details From Declaration,Pogledajte detalje iz deklaracije,
Get Employees,Dobijte zaposlene,
Gross Pay,Bruto plaća,
Guest,Gost,
Half Day,Pola dana,
Half Day Date is mandatory,Datum poluvremena je obavezan,
Half Day Date should be between From Date and To Date,Poludnevni datum treba biti između Od datuma i Do datuma,
Half Day Date should be in between Work From Date and Work End Date,Datum poluvremena treba da bude između rada od datuma i datuma rada,
Half day date should be in between from date and to date,Datum pola dana treba da bude između datuma i datuma,
Hello,zdravo,
House rent paid days overlapping with {0},Plaćeni dani za najam kuća preklapaju se sa {0},
House rented dates required for exemption calculation,Iznajmljeni datumi kuće potrebni za izračunavanje izuzeća,
House rented dates should be atleast 15 days apart,Datumi koji se iznajmljuju u kući trebaju biti najmanje 15 dana,
Interest Amount,Iznos kamata,
Intern,stažista,
Job Description,Opis posla,
Job Offer,Ponudu za posao,
Jobs,Posao,
Leave Approval Notification,Ostavite odobrenje za odobrenje,
Leave Blocked,Ostavite blokirani,
Leave Encashment,Ostavite unovčenja,
Leave Status Notification,Ostavite obaveštenje o statusu,
Leave Type,Ostavite Vid,
Leave Type is madatory,Leave Type je lijevan,
Leave Type {0} cannot be allocated since it is leave without pay,Ostavite Tip {0} ne može se dodijeliti jer se ostavi bez plate,
Leave Type {0} cannot be carry-forwarded,Ostavite Tip {0} se ne može nositi-proslijeđen,
Leave Type {0} is not encashable,Leave Type {0} nije moguće zaptivati,
Leave Without Pay,Ostavite bez plaće,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Ostavite se ne može dodijeliti prije {0}, kao odsustvo ravnoteža je već carry-proslijeđen u budućnosti rekord raspodjeli odsustvo {1}",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Ostavite ne može se primijeniti / otkazan prije nego {0}, kao odsustvo ravnoteža je već carry-proslijeđen u budućnosti rekord raspodjeli odsustvo {1}",
Leave of type {0} cannot be longer than {1},Ostavite tipa {0} ne može biti duži od {1},
Leaves,Lišće,
Leaves Allocated Successfully for {0},Lišće Dodijeljeni uspješno za {0},
Leaves per Year,Ostavlja per Godina,
Lifecycle,Životni ciklus,
Mark Attendance,Obeležite prisustvo,
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Iznos maksimalnog izuzeća ne može biti veći od maksimalnog iznosa {0} kategorije izuzeća od poreza {1},
Max benefits should be greater than zero to dispense benefits,Maksimalne koristi bi trebalo da budu veće od nule da bi se izbacile koristi,
Maximum amount eligible for the component {0} exceeds {1},Maksimalni iznos koji odgovara komponenti {0} prelazi {1},
Maximum benefit amount of component {0} exceeds {1},Maksimalna visina komponente komponente {0} prelazi {1},
Maximum benefit amount of employee {0} exceeds {1},Maksimalan iznos naknade zaposlenog {0} prelazi {1},
Maximum leave allowed in the leave type {0} is {1},Maksimalni dozvoljeni odmor u tipu odlaska {0} je {1},
Medical,liječnički,
Mode of payment is required to make a payment,Način plaćanja je potrebno izvršiti uplatu,
More than one selection for {0} not allowed,Više od jednog izbora za {0} nije dozvoljeno,
Net Pay,Neto plaća,
Net Pay cannot be less than 0,Neto Pay ne može biti manja od 0,
Net Salary Amount,Neto iznos plaće,
Net pay cannot be negative,Neto plaća ne može biti negativna,
No Employee Found,Nije pronađen nijedan zaposlenik,
No Salary Structure assigned for Employee {0} on given date {1},Struktura zarada nije dodeljena zaposlenom {0} na datom datumu {1},
No Staffing Plans found for this Designation,Nije pronađeno planiranje kadrova za ovu oznaku,
No active or default Salary Structure found for employee {0} for the given dates,Nema aktivnih ili zadani Plaća Struktura nađeni za zaposlenog {0} za navedeni datumi,
No more updates,Nema više ažuriranja,
No replies from,Nema odgovora od,
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Nijedan obrazovni list koji je dostavljen za navedene kriterijume ILI već dostavljen,
Nothing to change,Ništa se ne menja,
Notice Period,Otkazni rok,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Ostavite samo Prijave sa statusom &quot;Odobreno &#39;i&#39; Odbijena &#39;se može podnijeti,
Optional Holiday List not set for leave period {0},Opciona lista letenja nije postavljena za period odmora {0},
Part-time,Part - time,
Password policy for Salary Slips is not set,Politika lozinke za salve za plaće nije postavljena,
Payment Days,Plaćanja Dana,
Payment of {0} from {1} to {2},Isplata {0} od {1} do {2},
Payroll,Platni spisak,
Payroll Number,Platni broj,
Piecework,rad plaćen na akord,
Please add the remaining benefits {0} to any of the existing component,Dodajte preostale pogodnosti {0} bilo kojoj od postojećih komponenti,
Please confirm once you have completed your training,Potvrdite kad završite obuku,
Please enable default incoming account before creating Daily Work Summary Group,Molimo vas da omogućite podrazumevani dolazni račun pre kreiranja Dnevnog pregleda rada,
Please select Company and Designation,Izaberite kompaniju i oznaku,
Please select Employee,Molimo odaberite Employee,
Please select a csv file,Odaberite csv datoteku,
Please set default template for Leave Approval Notification in HR Settings.,Molimo postavite podrazumevani obrazac za obavještenje o odobrenju odobrenja u HR postavkama.,
Please set default template for Leave Status Notification in HR Settings.,Molimo podesite podrazumevani obrazac za obaveštenje o statusu ostavljanja u HR postavkama.,
Please set the Company,Molimo vas da postavite poduzeća,
Please set the Date Of Joining for employee {0},Molimo vas da postavite datum ulaska za zaposlenog {0},
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Molimo vas podelite svoje povratne informacije na trening klikom na &#39;Feedback Feedback&#39;, a zatim &#39;New&#39;",
Please update your status for this training event,Molimo ažurirajte svoj status za ovaj trening događaj,
Present,Sadašnje,
Preview Salary Slip,Preview Plaća Slip,
Privilege Leave,Privilege dopust,
Probation,Probni rad,
Probationary Period,Probni rad,
Property,Vlasništvo,
Property already added,Imovina je već dodata,
Replies,Odgovori,
Responsibilities,Odgovornosti,
Role,Uloga,
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Red {0} # Raspodijeljena količina {1} ne može biti veća od nezadovoljne količine {2},
Row {0}# Paid Amount cannot be greater than requested advance amount,Red {0} # Plaćeni iznos ne može biti veći od tražene količine,
Salary Slip ID,Plaća Slip ID,
Salary Slip of employee {0} already created for this period,Plaća listić od zaposlenika {0} već kreirali za ovaj period,
Salary Slip of employee {0} already created for time sheet {1},Plaća listić od zaposlenika {0} već kreirali za vrijeme stanja {1},
Salary Structure Assignment for Employee already exists,Struktura plaće za zaposlene već postoji,
Salary Structure Missing,Plaća Struktura Missing,
Salary Structure not found for employee {0} and date {1},Nije pronađena struktura plaća za zaposlenika {0} i datum {1},
Salary Structure should have flexible benefit component(s) to dispense benefit amount,Struktura plata treba da ima fleksibilnu komponentu (beneficije) za izdavanje naknade,
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Plaća je već pripremljena za period od {0} i {1}, Ostavi period aplikacija ne može da bude između tog datuma opseg.",
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Sankcionisano Iznos ne može biti veći od potraživanja Iznos u nizu {0}.,
Score must be less than or equal to 5,Ocjena mora biti manja od ili jednaka 5,
Select Property,Izaberite Svojstvo,
Select an employee to get the employee advance.,Izaberi zaposlenog da unapredi radnika.,
Service Expense,Servis rashodi,
Show Employee,Show Employee,
Show Salary Slip,Pokaži Plaća Slip,
Sick Leave,Bolovanje,
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Preskakanje zadatka za strukturu plata za sljedeće zaposlenike, jer protiv njih već postoje evidencije o dodjeli strukture plaće. {0}",
Staffing Plan {0} already exist for designation {1},Plan zapošljavanja {0} već postoji za oznaku {1},
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Datumi početka i završetka nisu u važećem Periodu za plaću, ne mogu izračunati {0}",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Datumi početka i kraja koji nisu u važećem periodu zarada, ne mogu se izračunati {0}.",
Stock Options,Stock Opcije,
Structures have been assigned successfully,Strukture su uspješno dodijeljene,
Submit Proof,Pošaljite dokaz,
Submit Salary Slip,Slanje plaće Slip,
Submit this to create the Employee record,Pošaljite ovo da biste napravili zapis Zaposlenog,
Submitting Salary Slips...,Podnošenje plata ...,
Team Updates,Team Updates,
Thank you,Hvala,
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,Dan (e) na koje se prijavljujete za odmor su praznici. Vi ne trebate podnijeti zahtjev za dozvolu.,
There are more holidays than working days this month.,Postoji više odmor nego radnih dana ovog mjeseca .,
There is no leave period in between {0} and {1},Nema perioda odlaska između {0} i {1},
This is based on the attendance of this Employee,To se temelji na prisustvo ovog zaposlenih,
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Ovo će poslati naknade za plate i kreirati obračunski dnevnik. Da li želite da nastavite?,
To date can not be equal or less than from date,Do danas ne može biti jednaka ili manja od datuma,
To date can not be less than from date,Do danas ne može biti manje od datuma,
To date can not greater than employee's relieving date,Do danas ne može biti veći od datuma oslobađanja zaposlenog,
Total Absent,Ukupno Odsutan,
Total Deduction,Ukupno Odbitak,
Total Leaves,Ukupno Leaves,
Total Present,Ukupno Present,
Total advance amount cannot be greater than total sanctioned amount,Ukupan iznos avansa ne može biti veći od ukupnog sankcionisanog iznosa,
Total flexible benefit component amount {0} should not be less than max benefits {1},Ukupni iznos komponente fleksibilne naknade {0} ne smije biti manji od maksimuma {1},
Total leaves allocated is mandatory for Leave Type {0},Ukupna izdvojena listića su obavezna za Tip Leave {0},
Total working hours should not be greater than max working hours {0},Ukupno radnog vremena ne smije biti veća od max radnog vremena {0},
Training,Trening,
Training Event,treningu,
Training Events,Događaji obuke,
Training Feedback,trening Feedback,
Training Result,trening Rezultat,
Travel,Putovanje,
Update Response,Update Response,
Value missing,Nedostaje vrijednost,
Variable,varijabla,
Walk In,Ulaz u,
Warning: Leave application contains following block dates,Upozorenje: Ostavite program sadrži sljedeće blok datume,
Website Listing,Listing na sajtu,
Work Summary for {0},Pregled radova za {0},
You are not authorized to approve leaves on Block Dates,Niste ovlašteni za odobravanje lišće na bloku Termini,
You are not present all day(s) between compensatory leave request days,Vi niste prisutni ceo dan između dana zahtjeva za kompenzacijski odmor,
You can only submit Leave Encashment for a valid encashment amount,Možete podnijeti Leave Encashment samo važeći iznos za unos,
{0} already allocated for Employee {1} for period {2} to {3},{0} već izdvojeno za zaposlenog {1} {2} za razdoblje do {3},
{0} applicable after {1} working days,{0} primjenjiv nakon {1} radnih dana,
{0} is not in Optional Holiday List,{0} nije u opcionoj popisnoj listi,
{0} is not in a valid Payroll Period,{0} nije u važećem periodu platnog spiska,
{0} must be submitted,{0} moraju biti dostavljeni,
"{0}: Employee email not found, hence email not sent",{0}: e-mail nije poslat jer e-mail zaposlenog nije pronađen,
{0}: From {0} of type {1},{0}: Od {0} {1} tipa,
Conditions,Uslovi,
Percent,Postotak,
