employee_name	appraisal_cycle
Alan Brooks	Annual Performance Review 2026
Vivian Choi	Annual Performance Review 2026
Derek Miles	Annual Performance Review 2026
Rosa Alvarez	Annual Performance Review 2026
Talia Morgan	Annual Performance Review 2026
Emily Santos	Annual Performance Review 2026
Henry Walker	Annual Performance Review 2026
Lucia Romero	Annual Performance Review 2026
Quentin Jones	Annual Performance Review 2026
Patricia Huang	Annual Performance Review 2026
Hannah Morris	Annual Performance Review 2026
Luz Ortega	Annual Performance Review 2026
Noah Delgado	Annual Performance Review 2026
Olivia Romero	Annual Performance Review 2026
Jade Simmons	Annual Performance Review 2026
Tomas Ferreira	Annual Performance Review 2026
Bianca Rossi	Annual Performance Review 2026
Liam Carter	Annual Performance Review 2026
Vera Johansson	Annual Performance Review 2026
Jonah Patel	Annual Performance Review 2026
Nina Kapoor	Annual Performance Review 2026
Ana Morales	Annual Performance Review 2026
Amy Flores	Annual Performance Review 2026
Jamal Peters	Annual Performance Review 2026
Rosa Mendes	Annual Performance Review 2026
Adam Clarke	Annual Performance Review 2026
Samuel Wright	Annual Performance Review 2026
Chloe Bennett	Annual Performance Review 2026
Eric Dalton	Annual Performance Review 2026
Priya Nair	Annual Performance Review 2026
