applicant_name	job_title	status
Alex Johnson	HR-OPN-2026-0002	Accepted
Amanda Foster	HR-OPN-2026-0012	Open
Brandon Lee	HR-OPN-2026-0006	Hold
Christopher Brown	HR-OPN-2026-0012	Replied
Daniel Kim	HR-OPN-2026-0010	Open
David Chen	HR-OPN-2026-0012	Accepted
Emily Rodriguez	HR-OPN-2026-0002	Accepted
James O'Brien	HR-OPN-2026-0008	Accepted
Jessica Liu	HR-OPN-2026-0006	Accepted
Kevin Zhang	HR-OPN-2026-0020	Open
Marcus Thompson	HR-OPN-2026-0002	Open
Michael Park	HR-OPN-2026-0004	Accepted
Michelle Torres	HR-OPN-2026-0002	Rejected
Nathan Cooper	HR-OPN-2026-0016	Open
Olivia Martinez	HR-OPN-2026-0014	Open
Priya Sharma	HR-OPN-2026-0006	Open
Rachel Adams	HR-OPN-2026-0018	Open
Ryan Mitchell	HR-OPN-2026-0006	Accepted
Sarah Kim	HR-OPN-2026-0016	Accepted
Sophia Williams	HR-OPN-2026-0008	Open
